id,slug,name
1147,garden-state-parkway-blues,Garden State Parkway Blues
807,garland-jeffreys,Garland Jeffreys
2830,garrison-starr,Garrison Starr
2078,garry-talent,Garry Talent
1739,garry-tallent,Garry Tallent
1246,gary-busey,Gary Busey
3498,gary-frost,Gary Frost
80,gary-u-s-bonds,Gary U.S. Bonds
3576,gary-u-s-gonds,Gary U.S. Gonds
195,gaslight-anthem,Gaslight Anthem
2328,gave-it-a-name,Gave It a Name
999,gelsenkirchen,Gelsenkirchen
3248,gene-barge,Gene Barge
1546,gene-siskel,Gene Siskel
1283,gene-vincent,Gene Vincent
1232,geneva,Geneva
676,genoa,Genoa
1048,gentofte,Gentofte
1633,george-harrison,George Harrison
2959,george-krikes,George Krikes
1235,george-mcgovern,George McGovern
2389,george-theiss,George Theiss
417,georgetown,Georgetown
298,germany,Germany
2058,gerry-goffin,Gerry Goffin
2831,get-back,Get Back
2300,get-it-on,Get It On
1611,get-out-of-denver,Get Out of Denver
3330,get-out-of-my-life-woman,Get Out of My Life Woman
3239,get-ready,Get Ready
1544,get-up-stand-up,Get Up Stand Up
3407,getcha-back,Getcha Back
744,ghent,Ghent
2927,ghost-hounds,Ghost Hounds
149,ghost-of-tom-joad,Ghost of Tom Joad
1569,ghost-of-tom-joad-tour,Ghost of Tom Joad Tour
2942,ghosts,Ghosts
1040,gia-ciambotti,Gia Ciambotti
1278,giants-stadium,Giants Stadium
893,gijon,Gijon
2684,gil-hamilton,Gil Hamilton
2586,gil-varod,GIl Varod
1758,gimme-shelter,Gimme Shelter
1318,gimme-that-wine,Gimme That Wine
1965,ginny-springsteen,Ginny Springsteen
111,gino-washington,Gino Washington
3223,girlfriend-blues,Girlfriend Blues
1477,girls-in-their-summer-clothes,Girls in Their Summer Clothes
281,give-my-love-to-rose,Give My Love to Rose
949,give-the-girl-a-kiss,Give the Girl a Kiss
2914,give-us-your-poor,Give US Your Poor
569,glasgow,Glasgow
1189,glastonbury,Glastonbury
2246,glastonbury-festival,Glastonbury Festival
3219,glen-campbell,Glen Campbell
2402,glen-hansard,Glen Hansard
609,glendale,Glendale
2106,glenn-frey,Glenn Frey
470,gloria,Gloria
634,glorias-eyes,Gloria's Eyes
90,glory-days,Glory Days
1551,glory-days-symposium,Glory Days Symposium
2643,glory-road,Glory Road
2524,go-girls-go,Go Girls Go
2339,go-go-go-down-the-line,Go Go Go (Down the Line)
2348,god-dont-make-lonely-girls,God Don't Make Lonely Girls
3470,gods-counting-on-me-gods-counting-on-you,God's Counting on Me... God's Counting on You
3075,goin-back,Goin' Back
2221,goin-back-to-georgia,Goin' Back to Georgia
342,goin-back-to-gerogia,Goin' Back to Gerogia
2073,goin-cali,Goin' Cali
2315,goin-down-slow,Goin' Down Slow
2641,going-out-in-style,Going Out in Style
121,golden-globe,Golden Globe
2100,golden-globes,Golden Globes
598,good-eye,Good Eye
2596,good-golly-miss-molly,Good Golly Miss Molly
759,good-lovin,Good Lovin'
2364,good-lovin-woman,Good Lovin' Woman
764,good-morning-america,Good Morning America
1514,good-rockin-tonight,Good Rockin' Tonight
2890,good-rocking-tonight,Good Rocking Tonight
2420,goodnight-irene,Goodnight Irene
2124,got-my-mojo-working,Got My Mojo Working
1449,got-to-get-you-off-my-mind,Got to Get You Off My Mind
1606,gotham-playboys,Gotham Playboys
848,gothenburg,Gothenburg
35,gotj,GOTJ
498,gotj-tour,GOTJ Tour
2993,gotta-get-that-feelin,Gotta Get That Feelin'
1962,gotta-get-that-feeling,Gotta Get That Feeling
2116,gov-christie-traffic-jam,Gov. Christie Traffic Jam
3412,grace-gaustad,Grace Gaustad
795,graceland,Graceland
3116,graham-nash,Graham Nash
2912,graham-norton,Graham Norton
2404,graham-parker,Graham Parker
232,grammy,Grammy
282,grammy-awards,Grammy Awards
1762,granada,Granada
791,grand-prairie,Grand Prairie
1388,grand-rapids,Grand Rapids
2902,grateful-dead,Grateful Dead
916,great-balls-of-fire,Great Balls of Fire
32,greatest-hits,greatest hits
1656,greece,Greece
1901,green-onions,Green Onions
854,green-river,Green River
75,greensboro,Greensboro
1982,greenvale,Greenvale
1571,greenville,Greenville
1335,greesnboro,Greesnboro
9,greetings,Greetings
404,greetings-from-asbury-park,Greetings from Asbury Park
1351,greg-kihn,Greg Kihn
3316,gregory-alan-isakov,Gregory Alan Isakov
2886,gresham-flyers,Gresham Flyers
2186,grin,Grin
305,growin-up,Growin' Up
16,grushecky,Grushecky
3430,guess-things-happen-that-way,Guess Things Happen That Way
3164,guitar-man,Guitar Man
2973,guitar-town,Guitar Town
2093,gulf-coast-highway,Gulf Coast Highway
2061,guy-lombardo,Guy Lombardo
1652,gypsy-biker,Gypsy Biker
