title,url,published,updated
Cover Me: Not Fade Away,/2020/06/24/cover-me-not-fade-away/,2020-06-24T05:00:00-07:00,2021-12-20T08:47:49-08:00
MatR: Patti Scialfa and Bruce Springsteen: Rainy Day Man,/2020/06/18/matr-patti-scialfa-and-bruce-springsteen-rainy-day-man/,2020-06-18T05:00:00-07:00,2023-01-01T15:34:38-08:00
MatR: Joe Grushecky and Bruce Springsteen: Talking to the King,/2020/06/12/matr-joe-grushecky-and-bruce-springsteen-talking-to-the-king/,2020-06-12T05:00:00-07:00,2020-12-24T08:49:25-08:00
MatR: Warren Zevon and Bruce Springsteen: Disorder in the House,/2020/06/08/matr-warren-zevon-and-bruce-springsteen-disorder-in-the-house/,2020-06-08T05:00:00-07:00,2023-01-01T15:26:06-08:00
MatR: Terence Trent D’Arby and Bruce Springsteen: I Have Faith in These Desolate Times,/2020/06/02/matr-terence-trent-darby-and-bruce-springsteen-/,2020-06-02T05:00:00-07:00,2020-06-02T04:52:26-07:00
MatR: Michael Strollo and Bruce Springsteen: Could Die Young Tonight,/2020/06/01/matr-michael-strollo-and-bruce-springsteen-could-die-young-tonight/,2020-06-01T05:00:00-07:00,2020-06-01T05:09:49-07:00
MatR: Patti Scialfa and Bruce Springsteen: Spanish Dancer,/2020/05/28/matr-patti-scialfa-and-bruce-springsteen-spanish-dancer/,2020-05-28T05:00:00-07:00,2020-05-27T19:59:29-07:00
MatR: Bruce Springsteen and Friends: Blowin’ Down This Road,/2020/05/27/matr-bruce-springsteen-and-friends-blowin-down-this-road/,2020-05-27T05:00:00-07:00,2020-05-27T05:19:04-07:00
MatR: Bruce Springsteen and Jerry Lee Lewis: Whole Lotta Shakin’ Goin’ On,/2020/05/15/matr-bruce-springsteen-and-jerry-lee-lewis-whol/,2020-05-15T05:00:00-07:00,2020-05-15T05:11:24-07:00
MatR: The Rolling Stones and Bruce Springsteen: Start Me Up,/2020/05/12/matr-the-rolling-stones-and-bruce-springsteen-start-me-up/,2020-05-12T05:00:00-07:00,2020-05-09T14:24:25-07:00
"MatR: Roy Orbison, Bruce Springsteen and Friends: Blue Bayou",/2020/05/05/matr-roy-orbison-bruce-springsteen-and-friends-blue-bayou/,2020-05-05T05:00:00-07:00,2020-05-04T16:17:27-07:00
MatR: Billy Joel and Bruce Springsteen: Movin’ Out (Anthony’s Song),/2020/04/27/matr-billy-joel-and-bruce-springsteen-movin-out-anthonys-song/,2020-04-27T05:00:00-07:00,2020-04-26T20:22:42-07:00
MatR: Bruce Springsteen and Joe Ely: Settle for Love,/2020/04/22/matr-bruce-springsteen-and-joe-ely-settle-for-love/,2020-04-22T05:00:00-07:00,2020-04-21T20:41:15-07:00
"Cover Me, Melissa Etheridge: Thunder Road",/2020/04/20/cover-me-melissa-etheridge-thunder-road/,2020-04-20T05:00:00-07:00,2020-04-20T05:07:06-07:00
MatR: Stewart Francke and Bruce Springsteen: Summer Solider (Holler If Ya Hear Me),/2020/04/17/matr-stewart-francke-and-bruce-springsteen-summ/,2020-04-17T05:00:00-07:00,2020-04-17T05:15:45-07:00
MatR: Stray Cats and Bruce Springsteen: Twenty Flight Rock,/2020/04/13/matr-stray-cats-and-bruce-springsteen-twenty-flight-rock/,2020-04-13T05:00:00-07:00,2020-04-13T08:30:43-07:00
MatR: Nils Lofgren and Bruce Springsteen: Lean on Me,/2020/04/03/matr-bruce-springsteen-and-nils-lofgren-lean-on-me/,2020-04-03T13:39:00-07:00,2020-04-03T15:21:50-07:00
MatR: Bruce Springsteen and Patti Scialfa: It Takes Two,/2020/04/03/matr-bruce-springsteen-and-patti-scialfa-it-takes-two/,2020-04-03T05:00:00-07:00,2020-12-22T05:53:28-08:00
MatR: Bruce Springsteen and Arcade Fire: Keep the Car Running,/2020/04/01/matr-bruce-springsteen-and-arcade-fire-keep-the-car-running/,2020-04-01T05:00:00-07:00,2020-03-31T08:09:10-07:00
MatR: Patti Scialfa and Bruce Springsteen: Tell Him,/2020/03/22/matr-patti-scialfa-and-bruce-springsteen-tell-him/,2020-03-22T05:00:00-07:00,2020-03-14T13:11:54-07:00
MatR: Billy Joel and Bruce Springsteen: A Matter of Trust,/2020/03/17/matr-billy-joel-and-bruce-springsteen-a-matter-of-trust/,2020-03-17T05:00:00-07:00,2020-03-17T05:11:30-07:00
MatR: Garland Jeffreys and Bruce Springsteen: Hail Hail Rock ‘n’ Roll,/2020/03/13/matr-garland-jeffreys-and-bruce-springsteen-hail-hail-rock-n-roll/,2020-03-13T05:00:00-07:00,2020-03-13T06:32:26-07:00
